Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,GLON,GLAT,Gmag,BP-RP,e_Gmag,e_BP-RP,probs
5289071394020026368,117.3660638406792,-62.2461447672197,2.358129708185194,0.01745513,-3.886898035650314,0.0262656,11.21942387499633,0.019439988,19.031204,4.0651894,274.7319044959167,-17.44024765393076,14.76658308802882,1.325250315645219,0.0027897167439387685,0.005191271794994022,1.0
5290633559526975360,118.8321323727242,-61.37713910583537,2.4500140338234138,0.088041164,-4.762134111521254,0.11275409,11.192895456543749,0.11652311,,,274.2355135430143,-16.43567831630128,17.856300229123896,2.580389413705838,0.00295917242592159,0.03621543517853457,1.0
5290633662607628416,118.80435534925694,-61.38215000178434,2.379837348897801,0.018131359,-4.254327545477454,0.024146719,11.157798249199608,0.022992974,23.99963,1.3153138,274.2339086347505,-16.44981234188065,11.123296184360466,0.5442874530373079,0.0027788657220269167,0.004726851425307793,1.0
5290724337955116672,119.16036132949148,-60.776045571791954,2.4037090533346097,0.014929241,-4.562267165594993,0.021624757,10.917106673459848,0.01902463,13.49382,2.4374385,273.7533391749688,-16.02073549917107,9.964137317286372,0.21179943953988456,0.0027647816532466326,0.004717337339723296,1.0
5290746431268081408,120.04743848372227,-61.02585648973167,2.406455644844973,0.025014546,-5.323989786067746,0.032240897,11.31139311675518,0.031136965,,,274.19137925061506,-15.754259300151658,15.591941040703732,1.6409878010038916,0.002830923418789068,0.0062004701491539145,1.0
5290746190749912192,120.09152436045046,-61.06223715161519,2.3718903869636856,0.018684387,-5.01391149616489,0.022203226,11.108476599994706,0.022725925,20.053558,8.9640465,274.23516489344524,-15.752460386110382,14.981690287953631,1.4273704537681553,0.0027745682969725705,0.005122838929266383,1.0
5290634001904112000,118.91082602516012,-61.34179966477929,2.5073057234169034,0.10636104,-3.9064113989102536,0.120402314,10.840354798690145,0.13531607,,,274.22045025661305,-16.386051733639555,18.154304918871894,2.692871545253894,0.003168152464569802,0.04878688402928516,1.0
5290745881512256000,119.95099771659262,-61.08882877157585,2.4144602780622013,0.011410669,-4.611567362965359,0.01461058,10.85327047395828,0.013803592,23.166338,2.2698405,274.2265263522641,-15.824968785836546,13.315987280870798,0.9696737798380042,0.00277902351667036,0.0050216109457128805,1.0
5290634418520265088,118.93587105247371,-61.29290698613776,2.387105766004151,0.012740288,-4.810924340682468,0.01647167,11.528672811619524,0.01606658,20.628967,5.0188026,274.1807063123714,-16.35317511249802,11.901794266180866,0.7813940595546889,0.002758204873202033,0.0047292095999968975,1.0
5290724681552584192,119.31772554506487,-60.78704949896928,2.4051628248220207,0.010988559,-4.6222906129420265,0.016792761,11.164310176706804,0.01180238,25.399622,1.210383,273.800215844203,-15.95756055947946,11.913357423300768,0.7514078369473403,0.0027584659997987883,0.00473557595506214,1.0
